,Month,value,variable,rate
24,1,5.10,2017,11629
25,2,5.10,2017,10390
26,3,4.50,2017,12223
27,4,4.30,2017,12148
28,5,4.50,2017,13407
29,6,4.70,2017,12739
30,7,5.30,2017,13944
31,8,5.30,2017,13657
32,9,4.70,2017,12877
33,10,4.50,2017,13529
34,11,4.20,2017,11227
35,12,4.10,2017,10683
12,1,4.70,2018,10501
13,2,4.70,2018,8922
14,3,4.40,2018,11223
15,4,4,2018,11742
16,5,3.70,2018,12882
17,6,4.30,2018,12518
18,7,4.50,2018,13175
19,8,4.50,2018,13440
20,9,4,2018,12220
21,10,4.10,2018,11843
22,11,3.80,2018,11245
23,12,4.10,2018,10641
0,1,5,2019,NaN
1,2,4.70,2019,NaN
2,3,4.30,2019,NaN
3,4,3.80,2019,NaN
4,5,4.30,2019,NaN
5,6,4.40,2019,NaN
6,7,4.60,2019,NaN
7,8,4.50,2019,NaN
8,9,4.0,2019,NaN
9,10,4.1,2019,NaN
10,11,3.8,2019,NaN
11,12,4.1,2019,NaN
0,1,5.0,2020,NaN
1,2,4.7,2020,NaN
2,3,4.3,2020,NaN
3,4,3.8,2020,NaN
4,5,4.3,2020,NaN
5,6,4.4,2020,NaN
6,7,4.6,2020,NaN
7,8,4.5,2020,NaN
8,9,4.0,2020,NaN
9,10,4.1,2020,NaN
10,11,3.8,2020,NaN
11,12,4.1,2020,NaN
12,1,5.0,2021,NaN
13,2,4.7,2021,NaN
14,3,4.3,2021,NaN
15,4,3.8,2021,NaN
16,5,4.3,2021,NaN
17,6,4.4,2021,NaN
18,7,4.6,2021,NaN
19,8,4.5,2021,NaN
20,9,4.0,2021,NaN
21,10,4.1,2021,NaN
22,11,3.8,2021,NaN
23,12,4.1,2021,NaN
24,1,5.0,2022,NaN
25,2,4.7,2022,NaN
26,3,4.3,2022,NaN
27,4,3.8,2022,NaN
28,5,4.3,2022,NaN
29,6,4.4,2022,NaN
30,7,4.6,2022,NaN
31,8,4.5,2022,NaN
32,9,4.0,2022,NaN
33,10,4.1,2022,NaN
34,11,3.8,2022,NaN
35,12,4.1,2022,NaN
