,Month,value,variable,rate
8,9,3.43,2019,NaN
9,10,3.38,2019,NaN
10,11,3.32,2019,NaN
11,12,3.27,2019,NaN
0,1,3.68,2020,NaN
1,2,3.63,2020,NaN
2,3,3.57,2020,NaN
3,4,3.52,2020,NaN
4,5,3.46,2020,NaN
5,6,3.41,2020,NaN
6,7,3.35,2020,NaN
7,8,3.3,2020,NaN
8,9,3.24,2020,NaN
9,10,3.19,2020,NaN
10,11,3.14,2020,NaN
11,12,3.08,2020,NaN
12,1,3.49,2021,NaN
13,2,3.44,2021,NaN
14,3,3.38,2021,NaN
15,4,3.33,2021,NaN
16,5,3.27,2021,NaN
17,6,3.22,2021,NaN
18,7,3.17,2021,NaN
19,8,3.11,2021,NaN
20,9,3.06,2021,NaN
21,10,3.0,2021,NaN
22,11,2.95,2021,NaN
23,12,2.89,2021,NaN
24,1,3.31,2022,NaN
25,2,3.25,2022,NaN
26,3,3.2,2022,NaN
27,4,3.14,2022,NaN
28,5,3.09,2022,NaN
29,6,3.03,2022,NaN
30,7,2.98,2022,NaN
31,8,2.92,2022,NaN
32,9,2.87,2022,NaN
33,10,2.82,2022,NaN
34,11,2.76,2022,NaN
35,12,2.71,2022,NaN
0,1,4.30,2019,NaN
1,2,4,2019,NaN
2,3,3.70,2019,NaN
3,4,3.20,2019,NaN
4,5,3.70,2019,NaN
5,6,3.70,2019,NaN
6,7,3.90,2019,NaN
7,8,3.80,2019,NaN
12,1,4.10,2018,6999
13,2,4.10,2018,6387
14,3,3.80,2018,7468
15,4,3.40,2018,7784
16,5,3.10,2018,8292
17,6,3.70,2018,8186
18,7,3.80,2018,8754
19,8,3.70,2018,8627
20,9,3.30,2018,7987
21,10,3.50,2018,8079
22,11,3.30,2018,7377
23,12,3.50,2018,7043
24,1,4.50,2017,8276
25,2,4.40,2017,7185
26,3,3.90,2017,8306
27,4,3.70,2017,8008
28,5,3.80,2017,9129
29,6,4,2017,8713
30,7,4.40,2017,9009
31,8,4.50,2017,9022
32,9,4,2017,8576
33,10,3.90,2017,8858
34,11,3.60,2017,7586
35,12,3.50,2017,7420
