,Month,value,variable,rate
8,9,3.89,2019,NaN
9,10,3.83,2019,NaN
10,11,3.77,2019,NaN
11,12,3.72,2019,NaN
0,1,4.08,2020,NaN
1,2,4.02,2020,NaN
2,3,3.96,2020,NaN
3,4,3.9,2020,NaN
4,5,3.85,2020,NaN
5,6,3.79,2020,NaN
6,7,3.73,2020,NaN
7,8,3.67,2020,NaN
8,9,3.62,2020,NaN
9,10,3.56,2020,NaN
10,11,3.5,2020,NaN
11,12,3.44,2020,NaN
12,1,3.8,2021,NaN
13,2,3.75,2021,NaN
14,3,3.69,2021,NaN
15,4,3.63,2021,NaN
16,5,3.57,2021,NaN
17,6,3.51,2021,NaN
18,7,3.46,2021,NaN
19,8,3.4,2021,NaN
20,9,3.34,2021,NaN
21,10,3.28,2021,NaN
22,11,3.23,2021,NaN
23,12,3.17,2021,NaN
24,1,3.53,2022,NaN
25,2,3.47,2022,NaN
26,3,3.41,2022,NaN
27,4,3.36,2022,NaN
28,5,3.3,2022,NaN
29,6,3.24,2022,NaN
30,7,3.18,2022,NaN
31,8,3.12,2022,NaN
32,9,3.07,2022,NaN
33,10,3.01,2022,NaN
34,11,2.95,2022,NaN
35,12,2.89,2022,NaN
0,1,4.80,2019,NaN
1,2,4.50,2019,NaN
2,3,4.10,2019,NaN
3,4,3.60,2019,NaN
4,5,4.10,2019,NaN
5,6,4.10,2019,NaN
6,7,4.60,2019,NaN
7,8,4.40,2019,NaN
12,1,4.60,2018,1531
13,2,4.60,2018,1364
14,3,4.30,2018,1910
15,4,3.90,2018,1773
16,5,3.60,2018,2010
17,6,4.20,2018,1935
18,7,4.60,2018,2008
19,8,4.50,2018,1998
20,9,3.90,2018,1884
21,10,3.90,2018,1950
22,11,3.70,2018,1674
23,12,3.90,2018,1677
24,1,5.10,2017,1811
25,2,5.10,2017,1518
26,3,4.50,2017,1907
27,4,4.30,2017,1934
28,5,4.40,2017,2099
29,6,4.70,2017,2113
30,7,5.40,2017,1971
31,8,5.40,2017,2066
32,9,4.60,2017,2023
33,10,4.40,2017,1925
34,11,4.10,2017,1775
35,12,4,2017,1569
